"BehaviorSpace results (NetLogo 7.0.4)","Table version 2.0"
"Wolf_Sheep_Predation_simpler.nlogox"
"experiment_100_100"
"08/04/2026 16:42:36:583 -0400"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-25","25","-25","25"
"[run number]","wolf-reproduce","sheep-reproduce","grass-regrowth-time","[step]","land_with_grass","count sheep","count wolves"
"11","4","4","225","180","60.55363321799308","0","0"
"7","4","4","200","1382","70.16532103037294","0","0"
"12","4","4","225","1500","76.70126874279123","35","0"
"5","4","4","175","1500","76.8166089965398","14","0"
"2","4","4","150","1500","58.63129565551711","32","0"
"8","4","4","200","1500","54.094579008073815","27","0"
"6","4","4","175","1500","47.59707804690504","26","0"
"4","4","4","175","1500","56.24759707804691","45","0"
"3","4","4","150","1500","63.437139561707035","18","0"
"9","4","4","200","1500","50.59592464436755","18","0"
"10","4","4","225","1500","42.48366013071895","11","0"
"13","4","4","250","1500","42.90657439446367","32","0"
"22","4","6","200","140","58.169934640522875","0","0"
"23","4","6","200","145","59.82314494425221","0","0"
"24","4","6","200","257","80.23836985774702","0","0"
"14","4","4","250","1500","52.32602845059593","35","0"
"15","4","4","250","1500","31.372549019607842","7","0"
"16","4","6","150","1500","75.58631295655518","28","0"
"20","4","6","175","1500","35.67858515955402","42","0"
"17","4","6","150","1500","41.753171856978085","35","0"
"19","4","6","175","1500","48.750480584390615","48","0"
"27","4","6","225","1083","40.67666282199154","0","0"
"26","4","6","225","1228","53.8638985005767","0","0"
"32","4","8","150","94","57.28565936178393","0","0"
"18","4","6","150","1500","63.975394079200306","33","0"
"21","4","6","175","1500","42.25297962322184","21","0"
"35","4","8","175","132","56.09381007304883","0","0"
"25","4","6","225","1500","50.2883506343714","24","0"
"37","4","8","200","107","50.01922337562476","0","0"
"38","4","8","200","117","57.51633986928105","0","0"
"42","4","8","225","136","56.01691657054979","0","0"
"29","4","6","250","710","26.259131103421762","0","0"
"28","4","6","250","722","26.451364859669358","0","0"
"36","4","8","175","377","17.83929257977701","0","0"
"44","4","8","250","152","45.71318723567858","0","0"
"45","4","8","250","190","58.43906189926951","0","0"
"40","4","8","225","526","26.259131103421762","0","0"
"30","4","6","250","999","66.28219915417148","0","0"
"41","4","8","225","565","54.67128027681661","0","0"
"50","4","10","175","109","57.01653210303729","0","0"
"52","4","10","200","132","50.865051903114185","0","0"
"43","4","8","250","924","11.264898116109189","0","0"
"31","4","8","150","1500","48.48135332564398","48","0"
"34","4","8","175","1500","63.360246059207995","39","0"
"39","4","8","200","1203","42.98346789696271","0","0"
"56","4","10","225","111","46.32833525567089","0","0"
"55","4","10","225","165","54.67128027681661","0","0"
"33","4","8","150","1500","50.82660515186467","52","0"
"57","4","10","225","115","49.40407535563245","0","0"
"58","4","10","250","182","59.55401768550558","0","0"
"61","4","12","150","339","24.798154555940023","0","0"
"46","4","10","150","1500","76.43214148404459","1","0"
"47","4","10","150","1500","32.75663206459054","23","0"
"60","4","10","250","625","33.64090734332949","0","0"
"48","4","10","150","1500","37.677816224529025","39","0"
"59","4","10","250","990","13.456362937331795","0","0"
"49","4","10","175","1500","53.90234525182622","49","0"
"67","4","12","200","150","62.245290272971936","0","0"
"51","4","10","175","1500","38.79277201076509","13","0"
"66","4","12","175","359","20.33833141099577","0","0"
"70","4","12","225","101","51.74932718185313","0","0"
"71","4","12","225","115","54.555940023068054","0","0"
"53","4","10","200","1500","28.95040369088812","32","0"
"72","4","12","225","149","51.98000768935025","0","0"
"73","4","12","250","106","48.44290657439446","0","0"
"68","4","12","200","412","22.491349480968857","0","0"
"1","4","4","150","1500","53.59477124183007","38","0"
"76","4","14","150","130","55.32487504805844","0","0"
"54","4","10","200","1500","37.985390234525184","13","0"
"74","4","12","250","233","55.47866205305652","0","0"
"62","4","12","150","1138","41.33025759323337","0","0"
"83","4","14","200","97","47.174163783160324","0","0"
"82","4","14","200","204","69.51172625913111","0","0"
"77","4","14","150","390","33.756247597078044","0","0"
"84","4","14","200","93","49.134948096885815","0","0"
"75","4","12","250","560","23.18339100346021","0","0"
"80","4","14","175","397","18.30065359477124","0","0"
"87","4","14","225","145","53.63321799307958","0","0"
"85","4","14","225","186","61.20722798923491","0","0"
"86","4","14","225","184","55.59400230680507","0","0"
"78","4","14","150","581","27.758554402153017","0","0"
"79","4","14","175","367","12.764321414840445","0","0"
"91","4","16","150","94","56.67051134179162","0","0"
"90","4","14","250","101","44.559784698193006","0","0"
"89","4","14","250","123","45.25182622068435","0","0"
"63","4","12","150","1500","38.56209150326797","43","0"
"96","4","16","175","95","56.286043829296425","0","0"
"95","4","16","175","107","52.59515570934256","0","0"
"97","4","16","200","118","52.287581699346404","0","0"
"64","4","12","175","1500","13.071895424836601","14","0"
"88","4","14","250","422","14.49442522106882","0","0"
"92","4","16","150","325","12.033833141099578","0","0"
"100","4","16","225","100","48.827374086889655","0","0"
"94","4","16","175","165","66.43598615916954","0","0"
"93","4","16","150","334","54.59438677431757","0","0"
"65","4","12","175","1500","20.146097654748175","16","0"
"101","4","16","225","130","49.98077662437524","0","0"
"99","4","16","200","165","54.97885428681276","0","0"
"69","4","12","200","1366","15.76316801230296","0","0"
"102","4","16","225","160","52.902729719338716","0","0"
"104","4","16","250","119","45.79008073817762","0","0"
"103","4","16","250","170","54.82506728181469","0","0"
"105","4","16","250","109","45.02114571318724","0","0"
"108","4","18","150","129","62.12995001922337","0","0"
"109","4","18","175","137","58.093041138023835","0","0"
"106","4","18","150","119","56.59361783929258","0","0"
"113","4","18","200","97","45.32871972318339","0","0"
"114","4","18","200","96","46.943483275663205","0","0"
"115","4","18","225","95","45.136485966935794","0","0"
"98","4","16","200","432","13.84083044982699","0","0"
"112","4","18","200","145","40.5997693194925","0","0"
"116","4","18","225","105","47.75086505190311","0","0"
"117","4","18","225","102","46.21299500192234","0","0"
"121","4","20","150","124","64.05228758169935","0","0"
"120","4","18","250","111","43.32948865820838","0","0"
"110","4","18","175","338","25.10572856593618","0","0"
"124","4","20","175","106","52.40292195309496","0","0"
"122","4","20","150","145","62.12995001922337","0","0"
"118","4","18","250","125","43.3679354094579","0","0"
"111","4","18","175","351","11.995386389850058","0","0"
"123","4","20","150","165","71.16493656286043","0","0"
"127","4","20","200","98","47.75086505190311","0","0"
"128","4","20","200","122","48.55824682814302","0","0"
"129","4","20","200","133","51.787773933102656","0","0"
"130","4","20","225","135","53.90234525182622","0","0"
"132","4","20","225","142","52.32602845059593","0","0"
"133","4","20","250","133","49.55786236063053","0","0"
"134","4","20","250","99","37.754709727028064","0","0"
"119","4","18","250","417","11.84159938485198","0","0"
"131","4","20","225","152","54.325259515570934","0","0"
"135","4","20","250","123","46.78969627066513","0","0"
"81","4","14","175","1500","29.02729719338716","1","0"
"126","4","20","175","365","14.263744713571704","0","0"
"125","4","20","175","615","9.111880046136102","0","0"
"146","6","4","225","196","68.74279123414071","0","0"
"107","4","18","150","1118","22.491349480968857","0","0"
"148","6","4","250","112","49.7116493656286","0","0"
"138","6","4","150","1500","61.01499423298731","20","0"
"136","6","4","150","1500","59.47712418300654","19","0"
"137","6","4","150","1500","36.60130718954248","34","0"
"139","6","4","175","1500","51.4801999231065","25","0"
"143","6","4","200","1500","64.59054209919262","16","0"
"140","6","4","175","1500","60.5920799692426","23","0"
"141","6","4","175","1500","64.28296808919646","21","0"
"144","6","4","200","1500","52.133794694348325","7","0"
"145","6","4","225","1500","43.59861591695502","28","0"
"147","6","4","225","1500","60.284505959246445","22","0"
"142","6","4","200","1500","40.90734332948866","20","0"
"149","6","4","250","1500","73.54863514033065","6","0"
"150","6","4","250","1500","63.20645905420992","8","0"
"151","6","6","150","1500","58.477508650519034","20","0"
"162","6","6","225","205","71.12648981161092","0","0"
