"BehaviorSpace results (NetLogo 7.0.4)","Table version 2.0"
"Wolf_Sheep_Predation_simpler.nlogox"
"experiment_100_100"
"08/04/2026 16:58:20:249 -0400"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-25","25","-25","25"
"[run number]","wolf-reproduce","sheep-reproduce","grass-regrowth-time","[step]","land_with_grass","count sheep","count wolves"
"4","4","4","175","171","67.55094194540561","0","0"
"13","4","4","250","209","67.1280276816609","0","0"
"14","4","4","250","233","75.16339869281046","0","0"
"2","4","4","150","1500","71.93387158785083","31","0"
"12","4","4","225","1500","75.93233371780084","4","0"
"6","4","4","175","1500","51.44175317185698","6","0"
"5","4","4","175","1500","45.71318723567858","55","0"
"9","4","4","200","1500","50.67281814686659","13","0"
"7","4","4","200","1500","45.905420991926185","37","0"
"11","4","4","225","1500","44.44444444444444","8","0"
"3","4","4","150","1500","74.74048442906575","19","0"
"8","4","4","200","1500","70.74202229911573","11","0"
"10","4","4","225","1500","50.711264898116106","25","0"
"20","4","6","175","161","66.82045367166475","0","0"
"23","4","6","200","485","34.56362937331795","0","0"
"15","4","4","250","1500","83.35255670895809","6","0"
"1","4","4","150","1500","64.28296808919646","16","0"
"27","4","6","225","113","52.441368704344484","0","0"
"26","4","6","225","527","30.79584775086505","0","0"
"30","4","6","250","123","50.67281814686659","0","0"
"17","4","6","150","1500","52.17224144559785","42","0"
"16","4","6","150","1500","85.39023452518262","15","0"
"19","4","6","175","1500","49.750096116878126","41","0"
"29","4","6","250","614","30.526720492118415","0","0"
"21","4","6","175","1500","65.12879661668589","27","0"
"25","4","6","225","1500","44.982698961937714","37","0"
"22","4","6","200","1500","32.75663206459054","34","0"
"18","4","6","150","1500","56.74740484429066","52","0"
"24","4","6","200","1500","26.220684352172242","54","0"
"37","4","8","200","94","49.211841599384854","0","0"
"40","4","8","225","130","51.095732410611305","0","0"
"43","4","8","250","131","53.47943098808151","0","0"
"38","4","8","200","467","42.67589388696655","0","0"
"41","4","8","225","509","17.339484813533257","0","0"
"28","4","6","250","1485","41.906958861976165","0","0"
"44","4","8","250","176","56.209150326797385","0","0"
"47","4","10","150","121","66.89734717416378","0","0"
"32","4","8","150","1500","25.297962322183775","19","0"
"39","4","8","200","802","76.239907727797","0","0"
"31","4","8","150","1500","34.48673587081892","22","0"
"33","4","8","150","1257","46.71280276816609","0","0"
"52","4","10","200","441","17.224144559784698","0","0"
"50","4","10","175","448","60.09227220299885","0","0"
"45","4","8","250","891","14.186851211072664","0","0"
"53","4","10","200","203","75.81699346405229","0","0"
"42","4","8","225","1272","42.48366013071895","0","0"
"54","4","10","200","118","53.133410226835835","0","0"
"34","4","8","175","1500","41.48404459823145","62","0"
"36","4","8","175","1109","82.31449442522107","0","0"
"35","4","8","175","1500","46.02076124567474","11","0"
"56","4","10","225","113","45.520953479430986","0","0"
"58","4","10","250","113","50.788158400615146","0","0"
"59","4","10","250","119","47.21261053440984","0","0"
"60","4","10","250","114","49.86543637062668","0","0"
"62","4","12","150","96","52.24913494809689","0","0"
"64","4","12","175","400","18.4159938485198","0","0"
"66","4","12","175","378","16.839677047289506","0","0"
"61","4","12","150","383","23.14494425221069","0","0"
"68","4","12","200","100","48.40445982314495","0","0"
"46","4","10","150","1500","29.181084198385236","38","0"
"48","4","10","150","1500","24.759707804690503","40","0"
"51","4","10","175","1220","22.029988465974625","0","0"
"69","4","12","200","100","47.866205305651675","0","0"
"71","4","12","225","147","61.74548250672818","0","0"
"49","4","10","175","1500","32.6797385620915","31","0"
"70","4","12","225","123","47.020376778162245","0","0"
"72","4","12","225","126","50.711264898116106","0","0"
"75","4","12","250","97","43.98308342945021","0","0"
"73","4","12","250","125","48.40445982314495","0","0"
"74","4","12","250","140","50.59592464436755","0","0"
"76","4","14","150","124","54.36370626682045","0","0"
"77","4","14","150","143","68.01230296039985","0","0"
"80","4","14","175","176","64.89811610918878","0","0"
"79","4","14","175","178","66.08996539792388","0","0"
"84","4","14","200","101","51.59554017685505","0","0"
"55","4","10","225","1275","20.684352172241447","0","0"
"83","4","14","200","137","49.826989619377166","0","0"
"65","4","12","175","969","31.949250288350633","0","0"
"86","4","14","225","115","55.20953479430988","0","0"
"85","4","14","225","125","51.63398692810458","0","0"
"57","4","10","225","1290","12.687427912341407","0","0"
"81","4","14","175","411","9.342560553633218","0","0"
"88","4","14","250","102","43.098808150711264","0","0"
"87","4","14","225","132","53.51787773933103","0","0"
"89","4","14","250","126","47.67397154940407","0","0"
"92","4","16","150","90","45.9438677431757","0","0"
"93","4","16","150","116","58.55440215301807","0","0"
"94","4","16","175","124","53.17185697808535","0","0"
"96","4","16","175","115","43.867743175701655","0","0"
"97","4","16","200","107","48.289119569396384","0","0"
"98","4","16","200","106","50.13456362937332","0","0"
"99","4","16","200","123","50.403690888119954","0","0"
"100","4","16","225","108","42.67589388696655","0","0"
"82","4","14","200","667","14.763552479815456","0","0"
"101","4","16","225","130","48.750480584390615","0","0"
"103","4","16","250","125","47.251057285659364","0","0"
"95","4","16","175","361","12.379853902345252","0","0"
"102","4","16","225","172","60.89965397923876","0","0"
"104","4","16","250","113","43.560169165705496","0","0"
"105","4","16","250","124","49.750096116878126","0","0"
"90","4","14","250","468","17.531718569780853","0","0"
"106","4","18","150","134","63.82160707420223","0","0"
"107","4","18","150","149","71.16493656286043","0","0"
"63","4","12","150","1500","35.294117647058826","27","0"
"108","4","18","150","120","53.90234525182622","0","0"
"91","4","16","150","524","13.14878892733564","0","0"
"110","4","18","175","130","55.517108804306034","0","0"
"111","4","18","175","135","55.17108804306036","0","0"
"67","4","12","200","1500","17.95463283352557","39","0"
"113","4","18","200","177","57.20876585928489","0","0"
"114","4","18","200","119","53.748558246828146","0","0"
"115","4","18","225","116","43.867743175701655","0","0"
